actual_outcome,actual_score,actual_total_bucket,advancing_team,aggressive_bucket_hit,aggressive_deviation,aggressive_exact_hit,aggressive_final_outcome_hit,aggressive_outcome_hit,aggressive_score,any_score_bucket_hit,any_score_exact_hit,any_score_final_outcome_hit,any_score_outcome_hit,available_score_count,cache_created_at_utc,cache_run_id,date_bjt,decision_method,evaluation_phase,final_outcome,final_score,four_score_mean_deviation,group,market_bucket_hit,market_deviation,market_exact_hit,market_final_outcome_hit,market_outcome_hit,market_score,missing_score_columns,model_bucket_hit,model_deviation,model_exact_hit,model_final_outcome_hit,model_outcome_hit,model_score,outcome_hit,predicted_outcome,raw_total_goal_buckets,regulation_score,selected_top2_buckets,selected_total_bucket,team_a,team_b,time_bjt,top1_bucket_hit,top2_bucket_hit,upset_bucket_hit,upset_deviation,upset_exact_hit,upset_final_outcome_hit,upset_outcome_hit,upset_score
A,5-0,4-5球,,TRUE,0.600000,FALSE,TRUE,TRUE,3-1,TRUE,FALSE,TRUE,TRUE,4,2026-06-26T08:33:00+00:00,20260626_163300_406961,2026-06-27,,final,A,5-0,0.650000,I,FALSE,0.400000,FALSE,TRUE,TRUE,3-0,,FALSE,0.600000,FALSE,TRUE,TRUE,2-0,TRUE,A,2-3球 70.0%; 4-5球 13.3%; 0-1球 16.6%; 6-8球 0.1%,5-0,"2-3球,4-5球",2-3球,Senegal,Iraq,03:00,FALSE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,0-0
D,0-0,0-1球,,FALSE,2.000000,FALSE,TRUE,TRUE,1-1,TRUE,TRUE,TRUE,TRUE,4,2026-06-26T08:33:00+00:00,20260626_163300_406961,2026-06-27,,final,D,0-0,1.250000,H,TRUE,1.000000,FALSE,FALSE,FALSE,0-1,,TRUE,0.000000,TRUE,TRUE,TRUE,0-0,TRUE,D,0-1球 87.3%; 2-3球 12.7%; 4-5球 0.0%; 6-8球 0.0%,0-0,"0-1球,2-3球",0-1球,Cape Verde,Saudi Arabia,08:00,TRUE,TRUE,FALSE,2.000000,FALSE,FALSE,FALSE,0-2
B,0-1,0-1球,,FALSE,3.000000,FALSE,TRUE,TRUE,1-3,TRUE,FALSE,TRUE,TRUE,4,2026-06-26T08:33:00+00:00,20260626_163300_406961,2026-06-27,,final,B,0-1,1.750000,H,FALSE,2.000000,FALSE,TRUE,TRUE,1-2,,FALSE,1.000000,FALSE,TRUE,TRUE,0-2,TRUE,B,2-3球 66.0%; 4-5球 25.1%; 0-1球 8.7%; 6-8球 0.3%,0-1,"2-3球,4-5球",2-3球,Uruguay,Spain,08:00,FALSE,FALSE,TRUE,1.000000,FALSE,FALSE,FALSE,0-0
D,1-1,2-3球,,TRUE,1.000000,FALSE,FALSE,FALSE,2-0,TRUE,TRUE,TRUE,TRUE,4,2026-06-26T08:33:00+00:00,20260626_163300_406961,2026-06-27,,final,D,1-1,0.500000,G,FALSE,0.500000,FALSE,FALSE,FALSE,0-1,,FALSE,0.500000,FALSE,FALSE,FALSE,1-0,FALSE,A,0-1球 73.7%; 2-3球 26.0%; 4-5球 0.3%; 6-8球 0.0%,1-1,"0-1球,2-3球",0-1球,Egypt,Iran,11:00,FALSE,TRUE,TRUE,0.000000,TRUE,TRUE,TRUE,1-1
B,1-5,6-8球,,TRUE,0.333333,FALSE,TRUE,TRUE,1-7,TRUE,FALSE,TRUE,TRUE,4,2026-06-26T08:33:00+00:00,20260626_163300_406961,2026-06-27,,final,B,1-5,0.375000,G,FALSE,0.166667,FALSE,TRUE,TRUE,1-4,,FALSE,0.333333,FALSE,TRUE,TRUE,1-3,TRUE,B,4-5球 54.0%; 6-8球 44.2%; 2-3球 1.8%; 0-1球 0.0%,1-5,"4-5球,6-8球",4-5球,New Zealand,Belgium,11:00,FALSE,TRUE,TRUE,0.666667,FALSE,FALSE,FALSE,3-3
B,0-2,2-3球,,FALSE,0.500000,FALSE,TRUE,TRUE,0-1,TRUE,TRUE,TRUE,TRUE,4,2026-06-27T09:45:38+00:00,20260627_174538_026677,2026-06-28,,final,B,0-2,0.500000,L,TRUE,0.500000,FALSE,TRUE,TRUE,0-3,,TRUE,0.000000,TRUE,TRUE,TRUE,0-2,TRUE,B,2-3球 63.2%; 0-1球 31.8%; 4-5球 4.9%; 6-8球 0.0%,0-2,"0-1球,2-3球",2-3球,Panama,England,05:00,TRUE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,0-0
A,2-1,2-3球,,FALSE,0.666667,FALSE,TRUE,TRUE,1-0,TRUE,TRUE,TRUE,TRUE,4,2026-06-27T09:45:38+00:00,20260627_174538_026677,2026-06-28,,final,A,2-1,0.500000,L,TRUE,0.000000,TRUE,TRUE,TRUE,2-1,,TRUE,0.333333,FALSE,TRUE,TRUE,2-0,TRUE,A,2-3球 53.2%; 0-1球 44.5%; 4-5球 2.3%; 6-8球 0.0%,2-1,"0-1球,2-3球",2-3球,Croatia,Ghana,05:00,TRUE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,0-0
D,0-0,0-1球,,FALSE,2.000000,FALSE,FALSE,FALSE,0-2,TRUE,FALSE,TRUE,TRUE,4,2026-06-27T09:45:38+00:00,20260627_174538_026677,2026-06-28,,final,D,0-0,1.500000,K,TRUE,1.000000,FALSE,FALSE,FALSE,0-1,,TRUE,1.000000,FALSE,FALSE,FALSE,0-1,FALSE,B,0-1球 74.0%; 2-3球 25.8%; 4-5球 0.3%; 6-8球 0.0%,0-0,"0-1球,2-3球",0-1球,Colombia,Portugal,07:30,TRUE,TRUE,FALSE,2.000000,FALSE,TRUE,TRUE,1-1
A,3-1,4-5球,,FALSE,0.500000,FALSE,TRUE,TRUE,2-0,FALSE,FALSE,TRUE,TRUE,4,2026-06-27T09:45:38+00:00,20260627_174538_026677,2026-06-28,,final,A,3-1,0.687500,K,FALSE,1.000000,FALSE,FALSE,FALSE,0-0,,FALSE,0.750000,FALSE,TRUE,TRUE,1-0,TRUE,A,0-1球 50.4%; 2-3球 48.0%; 4-5球 1.6%; 6-8球 0.0%,3-1,"0-1球,2-3球",0-1球,DR Congo,Uzbekistan,07:30,FALSE,FALSE,FALSE,0.500000,FALSE,FALSE,FALSE,1-1
D,3-3,6-8球,,FALSE,0.333333,FALSE,FALSE,FALSE,3-1,FALSE,FALSE,TRUE,TRUE,4,2026-06-27T09:45:38+00:00,20260627_174538_026677,2026-06-28,,final,D,3-3,0.625000,J,FALSE,0.666667,FALSE,TRUE,TRUE,1-1,,FALSE,0.500000,FALSE,FALSE,FALSE,2-1,FALSE,A,2-3球 69.8%; 4-5球 11.4%; 0-1球 18.8%; 6-8球 0.0%,3-3,"2-3球,4-5球",2-3球,Algeria,Austria,10:00,FALSE,FALSE,FALSE,1.000000,FALSE,TRUE,TRUE,0-0
B,1-3,4-5球,,FALSE,0.500000,FALSE,TRUE,TRUE,0-2,TRUE,TRUE,TRUE,TRUE,4,2026-06-27T09:45:38+00:00,20260627_174538_026677,2026-06-28,,final,B,1-3,0.312500,J,TRUE,0.250000,FALSE,TRUE,TRUE,1-4,,TRUE,0.000000,TRUE,TRUE,TRUE,1-3,TRUE,B,4-5球 59.6%; 2-3球 36.4%; 6-8球 2.6%; 0-1球 1.4%,1-3,"2-3球,4-5球",4-5球,Jordan,Argentina,10:00,TRUE,TRUE,FALSE,0.500000,FALSE,FALSE,FALSE,1-1
B,0-1,0-1球,,FALSE,1.000000,FALSE,TRUE,TRUE,0-2,TRUE,TRUE,TRUE,TRUE,4,2026-06-28T05:02:35+00:00,20260628_130235_447224,2026-06-29,,final,B,0-1,0.500000,R32,TRUE,0.000000,TRUE,TRUE,TRUE,0-1,,TRUE,0.000000,TRUE,TRUE,TRUE,0-1,TRUE,B,0-1球 69.2%; 2-3球 30.4%; 4-5球 0.4%; 6-8球 0.0%,0-1,"0-1球,2-3球",0-1球,South Africa,Canada,03:00,TRUE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,1-1
A,2-1,2-3球,,FALSE,0.666667,FALSE,TRUE,TRUE,1-0,TRUE,TRUE,TRUE,TRUE,4,2026-06-29T04:02:02+00:00,20260629_120202_537967,2026-06-30,,final,A,2-1,0.416667,R32,TRUE,0.000000,TRUE,TRUE,TRUE,2-1,,TRUE,0.333333,FALSE,TRUE,TRUE,2-0,TRUE,A,2-3球 63.6%; 0-1球 31.3%; 4-5球 5.1%; 6-8球 0.0%,2-1,"0-1球,2-3球",2-3球,Brazil,Japan,01:00,TRUE,TRUE,FALSE,0.666667,FALSE,FALSE,FALSE,0-1
D,1-1,2-3球,,FALSE,0.500000,FALSE,FALSE,FALSE,1-0,TRUE,FALSE,TRUE,TRUE,4,2026-06-29T04:02:02+00:00,20260629_120202_537967,2026-06-30,,final,D,1-1,0.750000,R32,TRUE,0.500000,FALSE,FALSE,FALSE,2-1,,TRUE,1.000000,FALSE,FALSE,FALSE,2-0,FALSE,A,2-3球 53.8%; 0-1球 43.8%; 4-5球 2.4%; 6-8球 0.0%,1-1,"0-1球,2-3球",2-3球,Germany,Paraguay,04:30,TRUE,TRUE,FALSE,1.000000,FALSE,TRUE,TRUE,0-0
D,1-1,2-3球,,FALSE,1.000000,FALSE,FALSE,FALSE,3-1,TRUE,FALSE,TRUE,TRUE,4,2026-06-29T04:02:02+00:00,20260629_120202_537967,2026-06-30,,final,D,1-1,0.875000,R32,TRUE,0.500000,FALSE,FALSE,FALSE,2-1,,TRUE,1.000000,FALSE,FALSE,FALSE,2-0,FALSE,A,2-3球 67.7%; 4-5球 21.9%; 0-1球 10.2%; 6-8球 0.2%,1-1,"2-3球,4-5球",2-3球,Netherlands,Morocco,09:00,TRUE,TRUE,FALSE,1.000000,FALSE,TRUE,TRUE,2-2
B,1-2,2-3球,,FALSE,0.333333,FALSE,TRUE,TRUE,1-3,TRUE,TRUE,TRUE,TRUE,4,2026-06-30T04:55:13+00:00,20260630_125513_214072,2026-07-01,,final,B,1-2,0.250000,R32,TRUE,0.000000,TRUE,TRUE,TRUE,1-2,,TRUE,0.000000,TRUE,TRUE,TRUE,1-2,TRUE,B,2-3球 69.2%; 4-5球 18.3%; 0-1球 12.4%; 6-8球 0.1%,1-2,"2-3球,4-5球",2-3球,Ivory Coast,Norway,01:00,TRUE,TRUE,FALSE,0.666667,FALSE,FALSE,FALSE,1-0
A,3-0,2-3球,,FALSE,0.333333,FALSE,TRUE,TRUE,3-1,FALSE,FALSE,TRUE,TRUE,4,2026-06-30T04:55:13+00:00,20260630_125513_214072,2026-07-01,,final,A,3-0,0.833333,R32,FALSE,1.000000,FALSE,TRUE,TRUE,4-2,,FALSE,1.000000,FALSE,TRUE,TRUE,5-1,TRUE,A,6-8球 90.6%; 4-5球 9.3%; 2-3球 0.0%; 0-1球 0.0%,3-0,"4-5球,6-8球",6-8球,France,Sweden,05:00,FALSE,FALSE,FALSE,1.000000,FALSE,FALSE,FALSE,2-2
A,2-0,2-3球,,TRUE,0.000000,TRUE,TRUE,TRUE,2-0,TRUE,TRUE,TRUE,TRUE,4,2026-06-30T04:55:13+00:00,20260630_125513_214072,2026-07-01,,final,A,2-0,0.750000,R32,FALSE,1.500000,FALSE,FALSE,FALSE,0-1,,FALSE,0.500000,FALSE,TRUE,TRUE,1-0,TRUE,A,0-1球 59.3%; 2-3球 39.9%; 4-5球 0.9%; 6-8球 0.0%,2-0,"0-1球,2-3球",0-1球,Mexico,Ecuador,09:00,FALSE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,1-1
A,2-1,2-3球,,TRUE,0.333333,FALSE,TRUE,TRUE,2-0,TRUE,FALSE,TRUE,TRUE,4,2026-07-01T05:13:53+00:00,20260701_131353_619281,2026-07-02,,final,A,2-1,0.500000,R32,FALSE,0.666667,FALSE,TRUE,TRUE,1-0,,FALSE,0.666667,FALSE,TRUE,TRUE,1-0,TRUE,A,0-1球 53.5%; 2-3球 45.2%; 4-5球 1.3%; 6-8球 0.0%,2-1,"0-1球,2-3球",0-1球,England,DR Congo,00:00,FALSE,TRUE,TRUE,0.333333,FALSE,FALSE,FALSE,1-1
D,2-2,4-5球,,FALSE,0.500000,FALSE,TRUE,TRUE,1-1,TRUE,TRUE,TRUE,TRUE,4,2026-07-01T05:13:53+00:00,20260701_131353_619281,2026-07-02,,final,D,2-2,0.250000,R32,TRUE,0.250000,FALSE,FALSE,FALSE,3-2,,TRUE,0.000000,TRUE,TRUE,TRUE,2-2,TRUE,D,4-5球 61.2%; 2-3球 34.7%; 6-8球 2.9%; 0-1球 1.2%,2-2,"2-3球,4-5球",4-5球,Belgium,Senegal,04:00,TRUE,TRUE,FALSE,0.250000,FALSE,FALSE,FALSE,1-2
A,2-0,2-3球,,TRUE,0.000000,TRUE,TRUE,TRUE,2-0,TRUE,TRUE,TRUE,TRUE,4,2026-07-01T05:13:53+00:00,20260701_131353_619281,2026-07-02,,final,A,2-0,0.750000,R32,FALSE,1.000000,FALSE,TRUE,TRUE,3-1,,FALSE,1.000000,FALSE,TRUE,TRUE,3-1,TRUE,A,4-5球 61.8%; 2-3球 34.0%; 6-8球 3.0%; 0-1球 1.2%,2-0,"2-3球,4-5球",4-5球,United States,Bosnia and Herzegovina,08:00,FALSE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,1-1
A,3-0,2-3球,,TRUE,0.333333,FALSE,TRUE,TRUE,2-0,TRUE,FALSE,TRUE,TRUE,4,2026-07-02T02:41:58+00:00,20260702_104158_188709,2026-07-03,,final,A,3-0,0.583333,R32,FALSE,0.666667,FALSE,TRUE,TRUE,4-1,,FALSE,0.333333,FALSE,TRUE,TRUE,3-1,TRUE,A,4-5球 53.4%; 2-3球 42.8%; 0-1球 2.0%; 6-8球 1.8%,3-0,"2-3球,4-5球",4-5球,Spain,Austria,03:00,FALSE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,1-1
A,2-1,2-3球,,TRUE,0.000000,TRUE,TRUE,TRUE,2-1,TRUE,TRUE,TRUE,TRUE,4,2026-07-02T02:41:58+00:00,20260702_104158_188709,2026-07-03,,final,A,2-1,0.416667,R32,FALSE,0.666667,FALSE,TRUE,TRUE,1-0,,FALSE,0.666667,FALSE,TRUE,TRUE,1-0,TRUE,A,0-1球 57.1%; 2-3球 41.9%; 4-5球 1.0%; 6-8球 0.0%,2-1,"0-1球,2-3球",0-1球,Portugal,Croatia,07:00,FALSE,TRUE,TRUE,0.333333,FALSE,FALSE,FALSE,1-1
A,2-0,2-3球,,FALSE,2.000000,FALSE,TRUE,TRUE,4-2,FALSE,FALSE,TRUE,TRUE,4,2026-07-02T02:41:58+00:00,20260702_104158_188709,2026-07-03,,final,A,2-0,1.500000,R32,FALSE,1.500000,FALSE,TRUE,TRUE,3-2,,FALSE,1.000000,FALSE,TRUE,TRUE,3-1,TRUE,A,4-5球 75.2%; 6-8球 11.1%; 2-3球 13.5%; 0-1球 0.2%,2-0,"4-5球,6-8球",4-5球,Switzerland,Algeria,11:00,FALSE,FALSE,FALSE,1.500000,FALSE,FALSE,FALSE,0-1
D,1-1,2-3球,Egypt,FALSE,1.000000,FALSE,TRUE,TRUE,0-0,TRUE,TRUE,TRUE,TRUE,4,2026-07-03T08:18:57+00:00,20260703_161857_715581,2026-07-04,penalties,regulation,D,1-1,0.625000,R32,TRUE,0.000000,TRUE,TRUE,TRUE,1-1,,TRUE,0.000000,TRUE,TRUE,TRUE,1-1,TRUE,D,2-3球 52.9%; 0-1球 44.8%; 4-5球 2.2%; 6-8球 0.0%,1-1,"0-1球,2-3球",2-3球,Australia,Egypt,02:00,TRUE,TRUE,TRUE,1.500000,FALSE,FALSE,FALSE,0-3
D,1-1,2-3球,Argentina,FALSE,2.000000,FALSE,FALSE,FALSE,4-0,TRUE,TRUE,TRUE,TRUE,4,2026-07-03T08:18:57+00:00,20260703_161857_715581,2026-07-04,extra_time,regulation,D,1-1,1.125000,R32,TRUE,1.500000,FALSE,FALSE,FALSE,3-0,,TRUE,1.000000,FALSE,FALSE,FALSE,2-0,FALSE,A,2-3球 43.9%; 4-5球 43.8%; 6-8球 12.3%; 0-1球 0.0%,1-1,"2-3球,4-5球",2-3球,Argentina,Cape Verde,06:00,TRUE,TRUE,TRUE,0.000000,TRUE,TRUE,TRUE,1-1
A,1-0,0-1球,,FALSE,3.000000,FALSE,TRUE,TRUE,4-0,FALSE,FALSE,TRUE,TRUE,4,2026-07-03T08:18:57+00:00,20260703_161857_715581,2026-07-04,,final,A,1-0,2.000000,R32,FALSE,1.000000,FALSE,FALSE,FALSE,1-1,,FALSE,2.000000,FALSE,TRUE,TRUE,2-1,TRUE,A,2-3球 48.4%; 4-5球 48.3%; 6-8球 2.0%; 0-1球 1.2%,1-0,"2-3球,4-5球",2-3球,Colombia,Ghana,09:30,FALSE,FALSE,FALSE,2.000000,FALSE,TRUE,TRUE,3-0
B,0-3,2-3球,,FALSE,0.333333,FALSE,TRUE,TRUE,1-3,TRUE,FALSE,TRUE,TRUE,4,2026-07-04T07:41:55+00:00,20260704_154155_042960,2026-07-05,,final,B,0-3,0.750000,R16,TRUE,1.000000,FALSE,FALSE,FALSE,1-1,,TRUE,0.666667,FALSE,TRUE,TRUE,1-2,TRUE,B,2-3球 68.5%; 4-5球 20.2%; 0-1球 11.1%; 6-8球 0.2%,0-3,"2-3球,4-5球",2-3球,Canada,Morocco,01:00,TRUE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,0-0
B,0-1,0-1球,,FALSE,3.000000,FALSE,TRUE,TRUE,0-4,TRUE,FALSE,TRUE,TRUE,4,2026-07-04T07:41:55+00:00,20260704_154155_042960,2026-07-05,,final,B,0-1,1.750000,R16,FALSE,1.000000,FALSE,FALSE,FALSE,1-1,,FALSE,2.000000,FALSE,TRUE,TRUE,1-2,TRUE,B,2-3球 55.4%; 4-5球 39.6%; 0-1球 4.3%; 6-8球 0.8%,0-1,"2-3球,4-5球",2-3球,Paraguay,France,05:00,FALSE,FALSE,TRUE,1.000000,FALSE,FALSE,FALSE,0-0
B,1-2,2-3球,,FALSE,1.000000,FALSE,FALSE,FALSE,3-1,TRUE,FALSE,FALSE,FALSE,4,2026-07-05T03:16:02+00:00,20260705_111602_747428,2026-07-06,,final,B,1-2,0.750000,R16,TRUE,0.333333,FALSE,FALSE,FALSE,1-1,,TRUE,0.666667,FALSE,FALSE,FALSE,2-1,FALSE,A,2-3球 46.9%; 4-5球 46.8%; 6-8球 6.1%; 0-1球 0.1%,1-2,"2-3球,4-5球",2-3球,Brazil,Norway,04:00,TRUE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,0-0
B,2-3,4-5球,,FALSE,0.600000,FALSE,TRUE,TRUE,0-2,FALSE,FALSE,TRUE,TRUE,4,2026-07-05T03:16:02+00:00,20260705_111602_747428,2026-07-06,,final,B,2-3,0.700000,R16,FALSE,0.800000,FALSE,TRUE,TRUE,0-1,,FALSE,0.800000,FALSE,TRUE,TRUE,0-1,TRUE,B,0-1球 49.9%; 2-3球 48.4%; 4-5球 1.6%; 6-8球 0.0%,2-3,"0-1球,2-3球",0-1球,Mexico,England,08:00,FALSE,FALSE,FALSE,0.600000,FALSE,FALSE,FALSE,1-1
B,0-1,0-1球,,TRUE,0.000000,TRUE,TRUE,TRUE,0-1,TRUE,TRUE,TRUE,TRUE,4,2026-07-06T06:27:53+00:00,20260706_142753_866415,2026-07-07,,final,B,0-1,1.000000,R16,FALSE,1.000000,FALSE,FALSE,FALSE,1-1,,FALSE,2.000000,FALSE,TRUE,TRUE,1-2,TRUE,B,2-3球 57.4%; 0-1球 39.5%; 4-5球 3.1%; 6-8球 0.0%,0-1,"0-1球,2-3球",2-3球,Portugal,Spain,03:00,FALSE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,0-0
B,1-4,4-5球,,FALSE,0.600000,FALSE,FALSE,FALSE,3-3,TRUE,FALSE,FALSE,FALSE,4,2026-07-06T06:27:53+00:00,20260706_142753_866415,2026-07-07,,final,B,1-4,0.750000,R16,TRUE,0.800000,FALSE,FALSE,FALSE,3-2,,TRUE,0.600000,FALSE,FALSE,FALSE,2-2,FALSE,D,4-5球 74.9%; 6-8球 15.0%; 2-3球 9.9%; 0-1球 0.1%,1-4,"4-5球,6-8球",4-5球,United States,Belgium,08:00,TRUE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,3-1
A,3-2,4-5球,,FALSE,0.800000,FALSE,TRUE,TRUE,1-0,FALSE,FALSE,TRUE,TRUE,4,2026-07-07T05:05:21+00:00,20260707_130521_224124,2026-07-08,,final,A,3-2,0.700000,R16,FALSE,0.600000,FALSE,FALSE,FALSE,1-1,,FALSE,0.400000,FALSE,TRUE,TRUE,2-1,TRUE,A,2-3球 58.0%; 0-1球 38.8%; 4-5球 3.2%; 6-8球 0.0%,3-2,"0-1球,2-3球",2-3球,Argentina,Egypt,00:00,FALSE,FALSE,FALSE,1.000000,FALSE,FALSE,FALSE,0-0
D,0-0,0-1球,Switzerland,FALSE,2.000000,FALSE,TRUE,TRUE,1-1,TRUE,TRUE,TRUE,TRUE,4,2026-07-07T05:05:21+00:00,20260707_130521_224124,2026-07-08,penalties,regulation,D,0-0,0.750000,R16,TRUE,0.000000,TRUE,TRUE,TRUE,0-0,,TRUE,0.000000,TRUE,TRUE,TRUE,0-0,TRUE,D,0-1球 81.8%; 2-3球 18.1%; 4-5球 0.1%; 6-8球 0.0%,0-0,"0-1球,2-3球",0-1球,Switzerland,Colombia,04:00,TRUE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,1-0
A,2-0,2-3球,,TRUE,0.000000,TRUE,TRUE,TRUE,2-0,TRUE,TRUE,TRUE,TRUE,4,2026-07-08T02:13:23+00:00,20260708_101323_903061,2026-07-10,,final,A,2-0,0.500000,QF,FALSE,0.500000,FALSE,TRUE,TRUE,1-0,,FALSE,0.500000,FALSE,TRUE,TRUE,1-0,TRUE,A,0-1球 68.4%; 2-3球 31.2%; 4-5球 0.4%; 6-8球 0.0%,2-0,"0-1球,2-3球",0-1球,France,Morocco,04:00,FALSE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,1-1
A,2-1,2-3球,,TRUE,0.000000,TRUE,TRUE,TRUE,2-1,TRUE,TRUE,TRUE,TRUE,4,2026-07-10T01:52:00+00:00,20260710_095200_419184,2026-07-11,,final,A,2-1,0.333333,QF,FALSE,0.666667,FALSE,TRUE,TRUE,3-2,,FALSE,0.333333,FALSE,TRUE,TRUE,3-1,TRUE,A,4-5球 56.7%; 2-3球 39.5%; 6-8球 2.2%; 0-1球 1.7%,2-1,"2-3球,4-5球",4-5球,Spain,Belgium,03:00,FALSE,TRUE,TRUE,0.333333,FALSE,FALSE,FALSE,1-1
D,1-1,2-3球,England,FALSE,2.000000,FALSE,TRUE,FALSE,2-4,FALSE,FALSE,TRUE,TRUE,4,2026-07-11T03:26:03+00:00,20260711_112603_201986,2026-07-12,extra_time,regulation,B,1-2,1.625000,QF,FALSE,1.500000,FALSE,TRUE,FALSE,2-3,,FALSE,1.000000,FALSE,TRUE,FALSE,1-3,FALSE,B,4-5球 59.9%; 6-8球 37.6%; 2-3球 2.5%; 0-1球 0.0%,1-1,"4-5球,6-8球",4-5球,Norway,England,05:00,FALSE,FALSE,FALSE,2.000000,FALSE,FALSE,TRUE,3-3
D,1-1,2-3球,Argentina,FALSE,0.500000,FALSE,TRUE,FALSE,1-0,TRUE,FALSE,TRUE,TRUE,4,2026-07-11T03:26:03+00:00,20260711_112603_201986,2026-07-12,extra_time,regulation,A,3-1,0.750000,QF,TRUE,0.500000,FALSE,TRUE,FALSE,2-1,,TRUE,1.000000,FALSE,TRUE,FALSE,2-0,FALSE,A,2-3球 64.1%; 0-1球 30.6%; 4-5球 5.3%; 6-8球 0.0%,1-1,"0-1球,2-3球",2-3球,Argentina,Switzerland,09:00,TRUE,TRUE,FALSE,1.000000,FALSE,FALSE,TRUE,0-0
B,0-2,2-3球,,TRUE,1.000000,FALSE,FALSE,FALSE,1-1,TRUE,FALSE,TRUE,TRUE,4,2026-07-14T04:18:34+00:00,20260714_121834_309522,2026-07-15,,final,B,0-2,1.000000,SF,FALSE,1.500000,FALSE,FALSE,FALSE,3-2,,FALSE,1.000000,FALSE,FALSE,FALSE,2-2,FALSE,D,4-5球 73.5%; 2-3球 18.3%; 6-8球 7.8%; 0-1球 0.3%,0-2,"2-3球,4-5球",4-5球,France,Spain,03:00,FALSE,TRUE,TRUE,0.500000,FALSE,TRUE,TRUE,1-2
B,1-2,2-3球,,FALSE,1.000000,FALSE,FALSE,FALSE,0-0,TRUE,FALSE,FALSE,FALSE,4,2026-07-15T08:17:44+00:00,20260715_161744_151173,2026-07-16,,final,B,1-2,0.666667,SF,TRUE,0.666667,FALSE,FALSE,FALSE,2-1,,TRUE,0.333333,FALSE,FALSE,FALSE,1-1,FALSE,D,2-3球 66.3%; 0-1球 27.0%; 4-5球 6.6%; 6-8球 0.0%,1-2,"0-1球,2-3球",2-3球,England,Argentina,03:00,TRUE,TRUE,FALSE,0.666667,FALSE,FALSE,FALSE,1-0
D,0-0,0-1球,Spain,TRUE,0.000000,TRUE,FALSE,TRUE,0-0,TRUE,TRUE,TRUE,TRUE,4,2026-07-19T06:22:34+00:00,20260719_142234_507087,2026-07-20,extra_time,regulation,A,1-0,1.500000,FINAL,FALSE,3.000000,FALSE,TRUE,FALSE,2-1,,FALSE,2.000000,FALSE,FALSE,TRUE,1-1,TRUE,D,2-3球 67.8%; 0-1球 24.2%; 4-5球 8.0%; 6-8球 0.0%,0-0,"0-1球,2-3球",2-3球,Spain,Argentina,03:00,FALSE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,0-1
