actual_outcome,actual_score,actual_total_bucket,advancing_team,aggressive_bucket_hit,aggressive_deviation,aggressive_exact_hit,aggressive_final_outcome_hit,aggressive_outcome_hit,aggressive_score,any_score_bucket_hit,any_score_exact_hit,any_score_final_outcome_hit,any_score_outcome_hit,available_score_count,cache_created_at_utc,cache_run_id,date_bjt,decision_method,evaluation_phase,final_outcome,final_score,four_score_mean_deviation,group,market_bucket_hit,market_deviation,market_exact_hit,market_final_outcome_hit,market_outcome_hit,market_score,missing_score_columns,model_bucket_hit,model_deviation,model_exact_hit,model_final_outcome_hit,model_outcome_hit,model_score,outcome_hit,predicted_outcome,raw_total_goal_buckets,regulation_score,selected_top2_buckets,selected_total_bucket,team_a,team_b,time_bjt,top1_bucket_hit,top2_bucket_hit,upset_bucket_hit,upset_deviation,upset_exact_hit,upset_final_outcome_hit,upset_outcome_hit,upset_score
D,0-0,0-1球,,TRUE,1.000000,FALSE,FALSE,FALSE,1-0,TRUE,TRUE,TRUE,TRUE,4,2026-06-20T09:55:31+00:00,20260620_175531_074382,2026-06-21,,final,D,0-0,1.500000,E,FALSE,3.000000,FALSE,FALSE,FALSE,3-0,,FALSE,2.000000,FALSE,FALSE,FALSE,2-0,FALSE,A,2-3球 46.2%; 0-1球 33.8%; 4-5球 16.9%; 6-8球 3.1%,0-0,"0-1球,2-3球",2-3球,Ecuador,Curaçao,08:00,FALSE,TRUE,TRUE,0.000000,TRUE,TRUE,TRUE,0-0
B,0-4,4-5球,,TRUE,0.500000,FALSE,TRUE,TRUE,1-3,TRUE,FALSE,TRUE,TRUE,4,2026-06-20T09:55:31+00:00,20260620_175531_074382,2026-06-21,,final,B,0-4,0.687500,F,FALSE,0.750000,FALSE,TRUE,TRUE,1-2,,FALSE,0.500000,FALSE,TRUE,TRUE,0-2,TRUE,B,2-3球 41.8%; 4-5球 29.1%; 0-1球 17.4%; 6-8球 11.7%,0-4,"2-3球,4-5球",2-3球,Tunisia,Japan,12:00,FALSE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,1-1
A,4-0,4-5球,,TRUE,0.500000,FALSE,TRUE,TRUE,3-1,TRUE,FALSE,TRUE,TRUE,4,2026-06-21T12:07:19+00:00,20260621_200719_359906,2026-06-22,,final,A,4-0,0.562500,H,FALSE,0.250000,FALSE,TRUE,TRUE,3-0,,FALSE,0.500000,FALSE,TRUE,TRUE,2-0,TRUE,A,2-3球 42.6%; 4-5球 29.1%; 0-1球 17.1%; 6-8球 11.1%,4-0,"2-3球,4-5球",2-3球,Spain,Saudi Arabia,00:00,FALSE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,1-1
D,0-0,0-1球,,FALSE,4.000000,FALSE,FALSE,FALSE,3-1,FALSE,FALSE,TRUE,TRUE,4,2026-06-21T12:07:19+00:00,20260621_200719_359906,2026-06-22,,final,D,0-0,2.750000,G,FALSE,3.000000,FALSE,FALSE,FALSE,3-0,,FALSE,2.000000,FALSE,FALSE,FALSE,2-0,FALSE,A,2-3球 43.8%; 4-5球 26.1%; 0-1球 21.3%; 6-8球 8.7%,0-0,"2-3球,4-5球",2-3球,Belgium,Iran,03:00,FALSE,FALSE,FALSE,2.000000,FALSE,TRUE,TRUE,1-1
D,2-2,4-5球,,FALSE,0.750000,FALSE,FALSE,FALSE,1-0,FALSE,FALSE,TRUE,TRUE,4,2026-06-21T12:07:19+00:00,20260621_200719_359906,2026-06-22,,final,D,2-2,0.750000,H,FALSE,0.750000,FALSE,FALSE,FALSE,3-0,,FALSE,0.500000,FALSE,FALSE,FALSE,2-0,FALSE,A,2-3球 43.4%; 0-1球 43.6%; 4-5球 11.5%; 6-8球 1.5%,2-2,"0-1球,2-3球",2-3球,Uruguay,Cape Verde,06:00,FALSE,FALSE,FALSE,1.000000,FALSE,TRUE,TRUE,0-0
B,1-3,4-5球,,TRUE,0.000000,TRUE,TRUE,TRUE,1-3,TRUE,TRUE,TRUE,TRUE,4,2026-06-21T12:07:19+00:00,20260621_200719_359906,2026-06-22,,final,B,1-3,0.375000,G,FALSE,0.500000,FALSE,TRUE,TRUE,0-2,,FALSE,0.500000,FALSE,TRUE,TRUE,0-2,TRUE,B,2-3球 44.5%; 4-5球 25.7%; 0-1球 21.8%; 6-8球 8.0%,1-3,"2-3球,4-5球",2-3球,New Zealand,Egypt,09:00,FALSE,TRUE,FALSE,0.500000,FALSE,FALSE,FALSE,1-1
A,2-0,2-3球,,TRUE,0.000000,TRUE,TRUE,TRUE,2-0,TRUE,TRUE,TRUE,TRUE,4,2026-06-22T13:37:42+00:00,20260622_213742_834586,2026-06-23,,final,A,2-0,0.875000,J,FALSE,1.500000,FALSE,TRUE,TRUE,4-1,,FALSE,1.000000,FALSE,TRUE,TRUE,3-1,TRUE,A,4-5球 62.8%; 2-3球 32.9%; 6-8球 3.2%; 0-1球 1.1%,2-0,"2-3球,4-5球",4-5球,Argentina,Austria,01:00,FALSE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,1-1
A,3-0,2-3球,,FALSE,1.000000,FALSE,TRUE,TRUE,5-1,FALSE,FALSE,TRUE,TRUE,4,2026-06-22T13:37:42+00:00,20260622_213742_834586,2026-06-23,,final,A,3-0,0.750000,I,FALSE,0.666667,FALSE,TRUE,TRUE,4-1,,FALSE,0.333333,FALSE,TRUE,TRUE,3-1,TRUE,A,4-5球 69.2%; 6-8球 25.9%; 2-3球 4.9%; 0-1球 0.0%,3-0,"4-5球,6-8球",4-5球,France,Iraq,05:00,FALSE,FALSE,FALSE,1.000000,FALSE,FALSE,FALSE,2-2
A,3-2,4-5球,,TRUE,0.600000,FALSE,FALSE,FALSE,1-3,TRUE,FALSE,FALSE,FALSE,4,2026-06-22T13:37:42+00:00,20260622_213742_834586,2026-06-23,,final,A,3-2,0.450000,I,FALSE,0.600000,FALSE,FALSE,FALSE,1-1,,FALSE,0.400000,FALSE,FALSE,FALSE,1-2,FALSE,B,2-3球 68.3%; 4-5球 20.7%; 0-1球 10.9%; 6-8球 0.2%,3-2,"2-3球,4-5球",2-3球,Norway,Senegal,08:00,FALSE,TRUE,TRUE,0.200000,FALSE,FALSE,FALSE,2-2
B,1-2,2-3球,,FALSE,0.333333,FALSE,TRUE,TRUE,1-3,TRUE,FALSE,TRUE,TRUE,4,2026-06-22T13:37:42+00:00,20260622_213742_834586,2026-06-23,,final,B,1-2,0.416667,J,TRUE,0.666667,FALSE,TRUE,TRUE,0-3,,TRUE,0.333333,FALSE,TRUE,TRUE,0-2,TRUE,B,2-3球 48.5%; 4-5球 47.4%; 0-1球 2.9%; 6-8球 1.2%,1-2,"2-3球,4-5球",2-3球,Jordan,Algeria,11:00,TRUE,TRUE,TRUE,0.333333,FALSE,FALSE,FALSE,1-1
A,5-0,4-5球,,TRUE,0.600000,FALSE,TRUE,TRUE,3-1,TRUE,FALSE,TRUE,TRUE,4,2026-06-23T13:11:14+00:00,20260623_211114_893716,2026-06-24,,final,A,5-0,0.650000,K,FALSE,0.400000,FALSE,TRUE,TRUE,3-0,,FALSE,0.600000,FALSE,TRUE,TRUE,2-0,TRUE,A,2-3球 70.0%; 4-5球 14.2%; 0-1球 15.7%; 6-8球 0.1%,5-0,"2-3球,4-5球",2-3球,Portugal,Uzbekistan,01:00,FALSE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,0-0
D,0-0,0-1球,,FALSE,8.000000,FALSE,FALSE,FALSE,5-3,FALSE,FALSE,TRUE,TRUE,4,2026-06-23T13:11:14+00:00,20260623_211114_893716,2026-06-24,,final,D,0-0,5.750000,L,FALSE,5.000000,FALSE,FALSE,FALSE,4-1,,FALSE,4.000000,FALSE,FALSE,FALSE,3-1,FALSE,A,4-5球 61.4%; 6-8球 35.8%; 2-3球 2.8%; 0-1球 0.0%,0-0,"4-5球,6-8球",4-5球,England,Ghana,04:00,FALSE,FALSE,FALSE,6.000000,FALSE,TRUE,TRUE,3-3
B,0-1,0-1球,,FALSE,5.000000,FALSE,TRUE,TRUE,1-5,TRUE,FALSE,TRUE,TRUE,4,2026-06-23T13:11:14+00:00,20260623_211114_893716,2026-06-24,,final,B,0-1,3.000000,L,FALSE,3.000000,FALSE,TRUE,TRUE,1-3,,FALSE,3.000000,FALSE,TRUE,TRUE,1-3,TRUE,B,4-5球 67.8%; 6-8球 27.7%; 2-3球 4.4%; 0-1球 0.0%,0-1,"4-5球,6-8球",4-5球,Panama,Croatia,07:00,FALSE,FALSE,TRUE,1.000000,FALSE,FALSE,FALSE,0-0
A,1-0,0-1球,,FALSE,3.000000,FALSE,TRUE,TRUE,3-1,TRUE,FALSE,TRUE,TRUE,4,2026-06-23T13:11:14+00:00,20260623_211114_893716,2026-06-24,,final,A,1-0,1.750000,K,FALSE,2.000000,FALSE,TRUE,TRUE,2-1,,FALSE,1.000000,FALSE,TRUE,TRUE,2-0,TRUE,A,2-3球 51.4%; 4-5球 44.2%; 0-1球 3.4%; 6-8球 1.0%,1-0,"2-3球,4-5球",2-3球,Colombia,DR Congo,10:00,FALSE,FALSE,TRUE,1.000000,FALSE,FALSE,FALSE,0-0
A,2-1,2-3球,,TRUE,0.333333,FALSE,FALSE,FALSE,1-1,TRUE,FALSE,TRUE,TRUE,4,2026-06-24T09:57:02+00:00,20260624_175702_636907,2026-06-25,,final,A,2-1,0.666667,B,FALSE,0.666667,FALSE,TRUE,TRUE,1-0,,FALSE,1.000000,FALSE,FALSE,FALSE,0-0,FALSE,D,0-1球 86.5%; 2-3球 13.5%; 4-5球 0.1%; 6-8球 0.0%,2-1,"0-1球,2-3球",0-1球,Switzerland,Canada,03:00,FALSE,TRUE,FALSE,0.666667,FALSE,FALSE,FALSE,0-1
A,3-1,4-5球,,FALSE,0.500000,FALSE,TRUE,TRUE,2-0,FALSE,FALSE,TRUE,TRUE,4,2026-06-24T09:57:02+00:00,20260624_175702_636907,2026-06-25,,final,A,3-1,0.625000,B,FALSE,0.750000,FALSE,TRUE,TRUE,1-0,,FALSE,0.750000,FALSE,TRUE,TRUE,1-0,TRUE,A,0-1球 53.8%; 2-3球 44.9%; 4-5球 1.3%; 6-8球 0.0%,3-1,"0-1球,2-3球",0-1球,Bosnia and Herzegovina,Qatar,03:00,FALSE,FALSE,FALSE,0.500000,FALSE,FALSE,FALSE,1-1
B,0-3,2-3球,,TRUE,0.333333,FALSE,TRUE,TRUE,0-2,TRUE,FALSE,TRUE,TRUE,4,2026-06-24T09:57:02+00:00,20260624_175702_636907,2026-06-25,,final,B,0-3,0.666667,C,FALSE,0.666667,FALSE,TRUE,TRUE,0-1,,FALSE,0.666667,FALSE,TRUE,TRUE,0-1,TRUE,B,0-1球 69.2%; 2-3球 30.4%; 4-5球 0.4%; 6-8球 0.0%,0-3,"0-1球,2-3球",0-1球,Scotland,Brazil,06:00,FALSE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,1-1
A,4-2,6-8球,,FALSE,0.333333,FALSE,TRUE,TRUE,4-0,TRUE,FALSE,TRUE,TRUE,4,2026-06-24T09:57:02+00:00,20260624_175702_636907,2026-06-25,,final,A,4-2,0.333333,C,TRUE,0.333333,FALSE,TRUE,TRUE,5-1,,TRUE,0.333333,FALSE,TRUE,TRUE,5-1,TRUE,A,6-8球 78.5%; 4-5球 21.4%; 2-3球 0.2%; 0-1球 0.0%,4-2,"4-5球,6-8球",6-8球,Morocco,Haiti,06:00,TRUE,TRUE,FALSE,0.333333,FALSE,FALSE,FALSE,2-2
B,0-3,2-3球,,TRUE,1.000000,FALSE,FALSE,FALSE,1-1,TRUE,FALSE,TRUE,TRUE,4,2026-06-24T09:57:02+00:00,20260624_175702_636907,2026-06-25,,final,B,0-3,1.000000,A,FALSE,0.666667,FALSE,TRUE,TRUE,0-1,,FALSE,1.000000,FALSE,FALSE,FALSE,0-0,FALSE,D,0-1球 53.4%; 2-3球 45.3%; 4-5球 1.3%; 6-8球 0.0%,0-3,"0-1球,2-3球",0-1球,Czechia,Mexico,09:00,FALSE,TRUE,FALSE,1.333333,FALSE,FALSE,FALSE,1-0
A,1-0,0-1球,,FALSE,3.000000,FALSE,FALSE,FALSE,1-3,TRUE,FALSE,FALSE,FALSE,4,2026-06-24T09:57:02+00:00,20260624_175702_636907,2026-06-25,,final,A,1-0,2.500000,A,FALSE,3.000000,FALSE,FALSE,FALSE,0-2,,FALSE,3.000000,FALSE,FALSE,FALSE,0-2,FALSE,B,2-3球 67.3%; 4-5球 22.7%; 0-1球 9.8%; 6-8球 0.2%,1-0,"2-3球,4-5球",2-3球,South Africa,South Korea,09:00,FALSE,FALSE,TRUE,1.000000,FALSE,FALSE,FALSE,0-0
A,2-1,2-3球,,TRUE,1.000000,FALSE,FALSE,FALSE,0-2,TRUE,FALSE,FALSE,FALSE,4,2026-06-25T05:17:31+00:00,20260625_131731_538193,2026-06-26,,final,A,2-1,0.666667,E,FALSE,0.666667,FALSE,FALSE,FALSE,0-1,,FALSE,0.666667,FALSE,FALSE,FALSE,0-1,FALSE,B,0-1球 74.7%; 2-3球 25.1%; 4-5球 0.2%; 6-8球 0.0%,2-1,"0-1球,2-3球",0-1球,Ecuador,Germany,04:00,FALSE,TRUE,TRUE,0.333333,FALSE,FALSE,FALSE,1-1
B,0-2,2-3球,,FALSE,0.500000,FALSE,TRUE,TRUE,0-1,TRUE,TRUE,TRUE,TRUE,4,2026-06-25T05:17:31+00:00,20260625_131731_538193,2026-06-26,,final,B,0-2,0.500000,E,TRUE,0.500000,FALSE,TRUE,TRUE,0-3,,TRUE,0.000000,TRUE,TRUE,TRUE,0-2,TRUE,B,2-3球 68.7%; 0-1球 22.2%; 4-5球 9.0%; 6-8球 0.0%,0-2,"0-1球,2-3球",2-3球,Curaçao,Ivory Coast,04:00,TRUE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,0-0
D,1-1,2-3球,,TRUE,0.500000,FALSE,FALSE,FALSE,2-1,TRUE,TRUE,TRUE,TRUE,4,2026-06-25T05:17:31+00:00,20260625_131731_538193,2026-06-26,,final,D,1-1,0.625000,F,FALSE,1.000000,FALSE,TRUE,TRUE,2-2,,FALSE,1.000000,FALSE,FALSE,FALSE,3-1,FALSE,A,4-5球 63.4%; 2-3球 32.2%; 6-8球 3.3%; 0-1球 1.0%,1-1,"2-3球,4-5球",4-5球,Japan,Sweden,07:00,FALSE,TRUE,TRUE,0.000000,TRUE,TRUE,TRUE,1-1
B,1-3,4-5球,,FALSE,0.500000,FALSE,TRUE,TRUE,1-5,TRUE,TRUE,TRUE,TRUE,4,2026-06-25T05:17:31+00:00,20260625_131731_538193,2026-06-26,,final,B,1-3,0.437500,F,TRUE,0.250000,FALSE,TRUE,TRUE,1-4,,TRUE,0.000000,TRUE,TRUE,TRUE,1-3,TRUE,B,4-5球 58.9%; 6-8球 38.7%; 2-3球 2.4%; 0-1球 0.0%,1-3,"4-5球,6-8球",4-5球,Tunisia,Netherlands,07:00,TRUE,TRUE,FALSE,1.000000,FALSE,FALSE,FALSE,0-0
A,3-2,4-5球,,FALSE,0.600000,FALSE,FALSE,FALSE,0-2,FALSE,FALSE,FALSE,FALSE,4,2026-06-25T05:17:31+00:00,20260625_131731_538193,2026-06-26,,final,A,3-2,0.700000,D,FALSE,0.800000,FALSE,FALSE,FALSE,0-1,,FALSE,0.800000,FALSE,FALSE,FALSE,0-1,FALSE,B,0-1球 58.8%; 2-3球 40.3%; 4-5球 0.9%; 6-8球 0.0%,3-2,"0-1球,2-3球",0-1球,Turkey,United States,10:00,FALSE,FALSE,FALSE,0.600000,FALSE,FALSE,FALSE,1-1
D,0-0,0-1球,,FALSE,2.000000,FALSE,TRUE,TRUE,1-1,TRUE,TRUE,TRUE,TRUE,4,2026-06-25T05:17:31+00:00,20260625_131731_538193,2026-06-26,,final,D,0-0,0.750000,D,TRUE,0.000000,TRUE,TRUE,TRUE,0-0,,TRUE,0.000000,TRUE,TRUE,TRUE,0-0,TRUE,D,0-1球 76.3%; 2-3球 23.5%; 4-5球 0.2%; 6-8球 0.0%,0-0,"0-1球,2-3球",0-1球,Paraguay,Australia,10:00,TRUE,TRUE,TRUE,1.000000,FALSE,FALSE,FALSE,1-0
B,1-4,4-5球,,FALSE,0.800000,FALSE,TRUE,TRUE,0-1,TRUE,FALSE,TRUE,TRUE,4,2026-06-26T08:33:00+00:00,20260626_163300_406961,2026-06-27,,final,B,1-4,0.600000,I,FALSE,0.400000,FALSE,TRUE,TRUE,1-2,,FALSE,0.600000,FALSE,TRUE,TRUE,0-2,TRUE,B,2-3球 64.1%; 0-1球 30.5%; 4-5球 5.4%; 6-8球 0.0%,1-4,"0-1球,2-3球",2-3球,Norway,France,03:00,FALSE,FALSE,TRUE,0.600000,FALSE,FALSE,FALSE,2-2
